Time2,EP1_I02_AN00037,EP1_I03_AN00037,EP1_I06_AN00037,EP1_I09_AN00037,EP1_I10_AN00037,EP1_I12_AN00037,Time
2020-11-15 21:00:00,22.96896978333334,22.928508499999975,22.668351833333336,22.471291099999995,23.152828899999996,22.655055533333332,2020-11-15 21:00:00
2020-11-15 22:00:00,22.312691233333332,22.38870098333334,21.99064678333332,21.852164216666676,22.734901466666663,21.97325739999999,2020-11-15 22:00:00
2020-11-15 23:00:00,21.696301400000003,21.95140024999998,21.31675573333331,21.224997616666656,22.0670004,21.28405924999999,2020-11-15 23:00:00
2020-11-16 00:00:00,21.459378916666676,21.682249899999995,21.096338566666656,20.9590699,22.00359755,21.090839233333327,2020-11-16 00:00:00
2020-11-16 01:00:00,21.273930766666677,21.422598250000004,20.93919834999999,20.947870466666657,21.58832645,21.024687749999984,2020-11-16 01:00:00
2020-11-16 02:00:00,21.081342916666674,21.262902283333336,20.582937150000003,20.770594749999994,21.381028149999985,20.772412149999987,2020-11-16 02:00:00
2020-11-16 03:00:00,21.224270666666666,21.36225478333333,20.702841683333336,20.937805666666673,21.226468966666655,20.95259148333333,2020-11-16 03:00:00
2020-11-16 04:00:00,21.07070803333333,21.12216183333333,20.6792155,20.57918236666666,21.293381799999995,20.66549276666666,2020-11-16 04:00:00
2020-11-16 05:00:00,20.91892163333334,21.120381616666684,20.465978999999997,20.394296533333325,20.955278449999998,20.44400736666666,2020-11-16 05:00:00
2020-11-16 06:00:00,22.313078333333333,22.522359750000003,21.877899733333333,22.953440383333326,23.582522583333333,22.001891633333337,2020-11-16 06:00:00
2020-11-16 07:00:00,36.33069408333333,29.093840533333324,27.36933996666666,38.551667816666686,40.93725428333334,28.202396116666684,2020-11-16 07:00:00
2020-11-16 08:00:00,44.96236711666668,30.644507300000004,37.50264028333333,46.435330149999984,47.56344393333335,39.72688043333335,2020-11-16 08:00:00
2020-11-16 09:00:00,48.79332331666667,33.27526596666666,44.35397748333334,50.43506416666667,50.00746716666667,47.87588811666667,2020-11-16 09:00:00
2020-11-16 10:00:00,45.21315606666668,36.56067296666665,39.37229458333332,47.34017441666667,40.132912666666684,45.186648599999984,2020-11-16 10:00:00
2020-11-16 11:00:00,45.55066326666666,40.79483084999999,47.158725,48.29691566666667,45.62299348333333,48.36668753333332,2020-11-16 11:00:00
2020-11-16 12:00:00,51.27967788333333,47.69925236666669,50.31994123333333,50.43522795,43.33386483333333,48.37149706666664,2020-11-16 12:00:00
2020-11-16 13:00:00,50.71069285,50.793802850000006,48.755831466666656,50.77657260000001,40.581799816666674,52.538605783333345,2020-11-16 13:00:00
2020-11-16 14:00:00,47.23869324999999,44.744088733333335,44.31772568333333,46.691627083333316,38.56242314999998,43.911946650000004,2020-11-16 14:00:00
2020-11-16 15:00:00,42.256816099999995,43.76555168333334,36.87219241666667,43.77591400000002,37.18725636666668,37.76840878333335,2020-11-16 15:00:00
2020-11-16 16:00:00,36.66577155000002,37.42712761666668,32.22135778333333,39.398578900000004,35.42164823333334,32.99721479999999,2020-11-16 16:00:00
2020-11-16 17:00:00,27.94545693333333,28.05456958333333,27.033425866666665,28.709805783333326,28.3175308,27.01418256666667,2020-11-16 17:00:00
2020-11-16 18:00:00,25.701002499999998,25.7964798,25.23343534999999,25.23340236666665,25.914111483333343,25.174428399999975,2020-11-16 18:00:00
2020-11-16 19:00:00,24.347678083333328,24.372267683333334,24.10364696666667,24.040876216666664,24.437892149999993,24.269654383333332,2020-11-16 19:00:00
2020-11-16 20:00:00,22.290213583333337,22.132457666666678,22.051525883333337,21.976304466666654,22.1357271,22.166566900000017,2020-11-16 20:00:00
2020-11-16 21:00:00,22.02190851666667,21.977444216666672,21.855839083333333,21.79361891666666,22.029072683333343,21.94486663333334,2020-11-16 21:00:00
2020-11-16 22:00:00,21.595271433333323,21.595877766666682,21.376442599999997,21.345552733333324,21.90229273333333,21.51630873333331,2020-11-16 22:00:00
2020-11-16 23:00:00,21.449924766666673,21.585823766666675,21.174931066666655,21.265777216666663,21.835941399999992,21.408752549999985,2020-11-16 23:00:00
2020-11-17 00:00:00,21.53737398333334,21.59351751666668,21.202720666666668,21.220273400000004,21.912366216666666,21.31777145,2020-11-17 00:00:00
2020-11-17 01:00:00,22.175553966666662,22.06738498333333,22.003046916666673,21.87461385000002,22.280901850000017,22.054820783333337,2020-11-17 01:00:00
2020-11-17 02:00:00,21.875931916666687,21.78517943333334,21.72165121666668,21.66414783333335,22.06166735,21.875106316666667,2020-11-17 02:00:00
2020-11-17 03:00:00,21.74002836666667,21.72956780000001,21.5336675,21.561302516666668,21.966867583333336,21.703680883333334,2020-11-17 03:00:00
2020-11-17 04:00:00,21.8463762,21.817115666666652,21.58035779999999,21.618643566666655,22.04270075,21.72200518333332,2020-11-17 04:00:00
2020-11-17 05:00:00,21.883608166666665,21.902307049999997,21.71750283333334,21.71677081666666,22.160615700000005,21.9259456,2020-11-17 05:00:00
2020-11-17 06:00:00,22.584641583333344,22.544371100000003,22.535283449999998,22.541704799999994,22.790622433333347,22.6645201,2020-11-17 06:00:00
2020-11-17 07:00:00,23.891126016666668,24.082777333333347,23.747617083333342,23.736907016666667,24.54155064999999,23.83373054999999,2020-11-17 07:00:00
2020-11-17 08:00:00,29.460257000000006,28.79790755,28.964350416666658,29.18837889999999,29.241017666666664,28.537449666666657,2020-11-17 08:00:00
2020-11-17 09:00:00,36.4968725,33.993880700000005,34.97593178333333,37.01451881666667,35.94322814999999,36.930197133333344,2020-11-17 09:00:00
