Time2,Ambient Temp [°C],Pressure         [hPa],Humidity           [%],Wind Direction ,Wind Speed [m/s],Radiance 1 [w/m2],Radiance 2 [w/m2],Horizontal Rad [w/m2],Diffuse Rad [w/m2],Rain             [mm],Time2
2020-11-20 05:00:00,23.204055277666672,1002.3509134929997,97.69116566966672,150.23598864899995,0.12139989916666669,0.0,2.0761775765,1.7957609580000002,1.4775849426666667,0.0,2020-11-20 05:00:00
2020-11-20 06:00:00,24.000825500000005,1003.2063751224994,95.98859672566664,163.23537425233332,0.047361260833333335,0.0,82.97582597683336,79.1213725088333,62.48479347233331,0.0,2020-11-20 06:00:00
2020-11-20 07:00:00,26.017610168166666,1003.748244220834,84.02148933383333,194.16520893549995,0.5022630788333332,0.0,275.4849322008334,262.6730613713333,219.72607777866668,0.0,2020-11-20 07:00:00
2020-11-20 08:00:00,26.918028767000003,1004.0671976740015,77.45759124749999,148.900241105,1.1193521995000004,0.0,377.7855072016665,368.29561513200025,303.6761047358333,0.0,2020-11-20 08:00:00
2020-11-20 09:00:00,28.343184407499987,1003.7273152671678,70.68928566016666,151.74397250799998,1.0877114163333335,0.0,587.1593353275,576.3999379476668,392.49734624183344,0.0,2020-11-20 09:00:00
2020-11-20 10:00:00,29.713406372166666,1003.3625590024999,65.89500904049997,127.66307948433334,1.4914250205000015,0.0,698.2696411133336,692.3418131511667,265.4775998438334,0.0,2020-11-20 10:00:00
2020-11-20 11:00:00,30.56418863933334,1002.6379557286665,63.42873903833333,146.77453137983332,1.0771478121666673,0.0,664.4151407881667,663.9917383831665,308.224592081,0.0,2020-11-20 11:00:00
2020-11-20 12:00:00,31.101467387499994,1001.6411661789991,61.254850387000005,140.4192207021667,1.1758536365000007,0.0,545.2454399108333,545.8048777265001,312.5939206439999,0.0,2020-11-20 12:00:00
2020-11-20 13:00:00,31.169325765666667,1000.7908335363336,59.86629918466666,112.33002284400006,2.224026934000002,0.0,563.7903116861669,569.4359247844998,513.0731834413333,0.0,2020-11-20 13:00:00
2020-11-20 14:00:00,32.164610799666676,999.8138010664989,53.65215473183331,107.03791205083331,1.6356753465000013,0.0,543.4961313886665,557.1509394320001,556.4437779748331,0.0,2020-11-20 14:00:00
2020-11-20 15:00:00,32.324725850166665,999.3932301809988,52.979158146833356,109.98546253799996,1.0831912955,0.0,351.51226094533337,368.9018639883333,380.25225791966665,0.0,2020-11-20 15:00:00
2020-11-20 16:00:00,31.873502095666662,999.4724263493329,56.773163667833316,136.453359604,0.5112033709999999,0.0,132.8917528785,143.0159110381667,152.23047447266663,0.0,2020-11-20 16:00:00
2020-11-20 17:00:00,29.355079142166666,999.8627604176675,71.04527797683332,109.97600084949998,0.06165829999999999,0.0,10.13913890516667,10.785520029000002,9.957797249500004,0.0,2020-11-20 17:00:00
2020-11-20 18:00:00,27.233027139833332,1000.6051666258343,84.10803324416666,165.9537112708334,0.10042263050000001,0.0,0.0065184955,0.0067891731666666665,0.0,0.0,2020-11-20 18:00:00
2020-11-20 19:00:00,26.167711382999986,1001.4403951006674,92.24897193900001,184.53653831466673,0.0,0.0,0.0,0.0,0.0,0.0,2020-11-20 19:00:00
2020-11-20 20:00:00,25.68193511883333,1002.3117136643323,93.94017206816662,162.37517865533337,0.06652177483333331,0.0,0.0,0.0,0.0,0.0,2020-11-20 20:00:00
2020-11-20 21:00:00,25.843622332166667,1002.9890513099994,92.4655947365,153.45265185066668,0.5123833718333333,0.0,0.007780880166666668,0.0,0.005666574666666666,0.0,2020-11-20 21:00:00
2020-11-20 22:00:00,25.70891672649999,1003.2192952493322,90.46414566083338,210.69322001150007,0.7321457316666671,0.0,0.06182930700000001,0.0020578696666666667,0.008994834166666667,0.0,2020-11-20 22:00:00
2020-11-20 23:00:00,25.360263063,1003.0107269279995,89.93350779233332,218.8962756475,0.10489277550000001,0.0,0.048778545666666666,0.0055580456666666665,0.013291702166666667,0.0,2020-11-20 23:00:00
2020-11-21 00:00:00,24.972309551147546,1002.8543551059024,94.3288342837705,95.65187325999997,0.5478174709836064,0.0,0.011586095081967212,0.0,0.004230624754098361,0.0,2020-11-21 00:00:00
2020-11-21 01:00:00,22.643008423499996,1002.2941467273329,92.1462488815,148.39094444983337,1.6080678235000003,0.0,1.1337408263333337,0.7560514734999999,1.0567692361666667,0.24000000300000018,2020-11-21 01:00:00
2020-11-21 02:00:00,22.479620869500003,1001.669676718332,96.25102450066667,161.17628444033338,0.5463341931666666,0.0,0.10994682349999994,0.014405088166666663,0.10573196800000002,0.17333333550000007,2020-11-21 02:00:00
2020-11-21 03:00:00,22.528652954333324,1001.8212239574976,96.21704355866659,71.77437435,0.40061047916666664,0.0,0.0294434015,0.0,0.01798113416666667,0.0,2020-11-21 03:00:00
2020-11-21 04:00:00,22.678860474500013,1002.1435648590007,96.71902999899997,153.20868849750002,0.20349865999999997,0.0,0.024393862833333328,0.0,0.008994834166666667,0.0,2020-11-21 04:00:00
2020-11-21 05:00:00,22.97709045333334,1002.8757354733348,96.31937675449996,114.14278655049993,0.05787487983333332,0.0,0.3600872035000001,0.2717736055,0.2766850141666666,0.0,2020-11-21 05:00:00
2020-11-21 06:00:00,23.296378072666666,1003.3684224456654,96.17987721749996,241.04158628733336,0.02893743866666667,0.0,27.8443966625,27.295809229166668,22.909146158666672,0.0,2020-11-21 06:00:00
2020-11-21 07:00:00,23.844088745166665,1003.8459920255002,94.43436253883333,74.44632300966667,0.22108584066666673,0.0,107.02016073899999,105.97810128533334,88.30006891866664,0.0,2020-11-21 07:00:00
2020-11-21 08:00:00,24.83341725733334,1004.3503499330011,90.90882682799999,205.38942085899996,0.13835033300000002,0.0,141.34984156266668,140.65136057549998,116.28298377950003,0.0,2020-11-21 08:00:00
2020-11-21 09:00:00,25.790181476999987,1004.2131510410015,87.05614916499995,188.0476922436666,0.3490224911666667,0.0,250.85357564249998,248.36052907349998,204.95926055816673,0.0,2020-11-21 09:00:00
2020-11-21 10:00:00,27.587297058499992,1003.8866689053339,77.62743301366666,163.5399152116666,1.1513363710000006,0.0,397.6927235923334,395.30930480933336,309.0464960738334,0.0,2020-11-21 10:00:00
2020-11-21 11:00:00,29.401063028666673,1002.9783335366667,69.65575002049998,212.85169642816658,1.1049552298333338,0.0,701.3827590938332,696.5222345983334,445.5420176188331,0.0,2020-11-21 11:00:00
2020-11-21 12:00:00,30.21704864483333,1001.9238016773321,64.88285013833335,179.6044132391667,0.9732351526666669,0.0,599.3602432251666,594.2204340621666,436.6159851071667,0.0,2020-11-21 12:00:00
2020-11-21 13:00:00,31.46282399483332,1000.9146006271666,59.7705274583333,184.00674559250004,1.0661908870000005,0.0,679.7674402876668,684.6851150514996,632.5864359538334,0.06000000000000003,2020-11-21 13:00:00
2020-11-21 14:00:00,31.912698364166665,1000.1629333491676,59.063484828166644,192.80297915116674,0.8726126391666674,0.0,494.8954920456668,504.1056528734999,480.9944740291666,0.04333333333333335,2020-11-21 14:00:00
2020-11-21 15:00:00,31.393949890166663,999.8961456293323,58.04957129116667,134.8557885491667,1.025853228666667,0.0,231.84821624716653,239.64394887250006,227.78643798799996,0.0,2020-11-21 15:00:00
2020-11-21 16:00:00,30.261508687166664,1000.3654276538323,64.763753319,104.53372433916662,0.9829121323333342,0.0,98.43258450799996,103.30539995766668,99.99950097400004,0.0,2020-11-21 16:00:00
2020-11-21 17:00:00,28.232441711499998,1000.8239573161658,77.08743362433339,94.93472525266671,0.23990298966666662,0.0,9.2425474605,9.177020835333336,7.386606158166667,0.0,2020-11-21 17:00:00
2020-11-21 18:00:00,26.447470600166657,1001.4194417314995,86.90488764450002,98.12564035283336,0.13157016133333335,0.0,0.005049538666666667,0.0,0.0,0.0,2020-11-21 18:00:00
2020-11-21 19:00:00,26.130389910166652,1002.6581787111658,85.88506304433331,174.4814259138333,1.3455578165000006,0.0,0.0346995125,0.003500176,0.013095420166666668,0.0,2020-11-21 19:00:00
2020-11-21 20:00:00,25.5236145025,1003.5418813078343,82.27584126749998,214.39757843049998,1.0933115720000004,0.0,0.11565739133333329,0.03149259783333334,0.12369603349999997,0.0,2020-11-21 20:00:00
2020-11-21 21:00:00,24.859548440999998,1003.8048085533343,85.007724762,209.56626383500003,0.9791287265000006,0.0,0.0,0.0,0.0,0.0,2020-11-21 21:00:00
2020-11-21 22:00:00,24.585546873333346,1003.6924865713328,84.98075968416666,221.9276835126667,1.222084872166667,0.0,0.0,0.0,0.0,0.0,2020-11-21 22:00:00
2020-11-21 23:00:00,24.1788253785,1003.731470743333,86.816981125,238.06082258199996,0.36302613133333345,0.0,0.007780880166666669,0.0,0.007620860333333332,0.0,2020-11-21 23:00:00
2020-11-22 00:00:00,23.693648540655737,1003.5292628549164,91.61431809737702,238.2088107131148,0.004059128524590164,0.0,0.008064211475409838,0.0,0.00980430475409836,0.0,2020-11-22 00:00:00
2020-11-22 01:00:00,23.66784973166667,1003.1854197193319,93.83244527149994,242.9067432001667,0.0,0.0,0.010305649499999998,0.0,0.006255420833333333,0.0,2020-11-22 01:00:00
2020-11-22 02:00:00,23.641041565500014,1003.0036488850003,94.70575675983333,279.54624633833333,0.020290543666666667,0.0,0.023553803166666665,0.0,0.003908571333333334,0.0,2020-11-22 02:00:00
2020-11-22 03:00:00,23.461043803166675,1002.4788431828322,95.77385826099999,238.8582951536667,0.035667638333333335,0.0,0.019348914333333325,0.0,0.001954285666666667,0.0,2020-11-22 03:00:00
2020-11-22 04:00:00,23.226398722999996,1002.5039377886652,97.19808133483329,257.4324830696667,0.036454305,0.0,0.02649171716666666,0.0,0.008013424166666666,0.0,2020-11-22 04:00:00
2020-11-22 05:00:00,23.01952311216667,1002.9902598056684,97.94664331999994,169.40144865516666,0.0,0.0,0.6799708950000001,0.520901653,0.48063476099999985,0.0,2020-11-22 05:00:00
2020-11-22 06:00:00,23.269844563833313,1003.7955413818331,98.40347023000004,185.02306367500003,0.072908614,0.0,36.184806950666676,34.3361548345,27.95403198333332,0.06000000000000003,2020-11-22 06:00:00
2020-11-22 07:00:00,23.948523962333308,1004.1468770373323,97.3376967085,288.5457463618329,0.017293792,0.0,86.2861412050001,80.23174807549991,67.30822334116681,0.19999999999999957,2020-11-22 07:00:00
2020-11-22 08:00:00,23.966674799999975,1004.1590576199991,97.23256683,287.83724975999957,0.0,0.0,84.62953949000006,78.9472503699999,66.02958679000015,0.19999999999999957,2020-11-22 08:00:00
2020-11-22 09:00:00,23.966674799999975,1004.1590576199991,97.23256683,287.83724975999957,0.0,0.0,84.62953949000006,78.9472503699999,66.02958679000015,0.19999999999999957,2020-11-22 09:00:00
2020-11-22 10:00:00,23.966674799999975,1004.1590576199991,97.23256683,287.83724975999957,0.0,0.0,84.62953949000006,78.9472503699999,66.02958679000015,0.19999999999999957,2020-11-22 10:00:00
2020-11-22 11:00:00,23.966674799999975,1004.1590576199991,97.23256683,287.83724975999957,0.0,0.0,84.62953949000006,78.9472503699999,66.02958679000015,0.19999999999999957,2020-11-22 11:00:00
2020-11-22 12:00:00,23.966674799999975,1004.1590576199991,97.23256683,287.83724975999957,0.0,0.0,84.62953949000006,78.9472503699999,66.02958679000015,0.19999999999999957,2020-11-22 12:00:00
2020-11-22 13:00:00,23.966674799999975,1004.1590576199991,97.23256683,287.83724975999957,0.0,0.0,84.62953949000006,78.9472503699999,66.02958679000015,0.19999999999999957,2020-11-22 13:00:00
2020-11-22 14:00:00,23.966674799999975,1004.1590576199991,97.23256683,287.83724975999957,0.0,0.0,84.62953949000006,78.9472503699999,66.02958679000015,0.19999999999999957,2020-11-22 14:00:00
2020-11-22 15:00:00,23.966674799999975,1004.1590576199991,97.23256683,287.83724975999957,0.0,0.0,84.62953949000006,78.9472503699999,66.02958679000015,0.19999999999999957,2020-11-22 15:00:00
