DHI_SolarCast,DNI_SolarCast,EBH_SolarCast,GHI_SolarCast
144,943,783,927
331,659,595,926
269,769,703,972
375,507,429,804
202,763,580,782
319,305,171,490
184,304,123,307
67,149,25,92
2,5,0,3
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
26,206,32,58
71,706,222,293
88,894,469,557
96,977,687,783
103,1013,845,948
246,791,713,959
398,545,499,896
416,112,101,517
310,0,0,310
127,0,0,127
140,0,0,140
59,14,1,60
2,7,1,3
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
32,173,25,57
64,746,240,304
74,955,501,575
81,1028,724,805
86,1063,888,974
88,1080,981,1069
89,1080,992,1081
89,1065,920,1009
85,1034,775,861
78,977,570,648
66,856,324,390
53,279,58,111
2,16,1,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
24,247,37,61
63,778,244,307
80,945,496,576
89,1015,716,806
95,1052,881,975
97,1070,974,1071
98,1071,985,1083
97,1054,913,1011
93,1022,768,861
84,966,565,648
68,851,323,390
37,445,86,122
3,9,1,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
29,202,30,59
65,761,243,307
78,954,502,579
85,1027,726,810
89,1063,892,980
91,1080,985,1076
92,1080,996,1088
92,1063,923,1015
89,1031,777,866
81,974,571,653
68,854,326,393
37,456,87,124
3,16,1,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
23,272,40,64
58,817,257,315
67,993,522,589
73,1059,749,822
79,1087,913,992
82,1100,1005,1088
86,1097,1013,1099
91,1073,934,1024
90,1035,782,872
84,972,572,656
71,844,324,395
54,301,62,116
3,15,1,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
24,238,36,60
65,758,239,304
79,937,495,574
86,1013,718,804
91,1050,883,975
92,1070,979,1071
92,1072,993,1085
93,1054,919,1012
90,1021,773,863
155,783,459,613
69,838,323,392
51,326,66,117
3,18,2,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
26,224,34,60
69,733,232,301
122,817,431,553
182,818,572,754
180,881,749,928
97,1058,970,1067
98,1059,983,1081
148,954,837,985
141,924,699,840
144,804,478,622
91,762,291,382
41,416,81,123
3,14,1,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
34,131,19,54
73,683,224,297
84,916,485,569
91,994,707,798
98,1030,870,968
102,1047,962,1064
144,984,915,1059
106,1027,900,1006
183,837,636,819
166,754,444,610
82,782,304,386
50,334,68,118
3,12,1,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
27,190,30,57
78,680,217,295
102,869,461,563
121,942,671,792
189,886,746,936
343,639,585,928
440,133,123,562
487,330,282,769
322,572,437,759
266,495,295,561
157,449,178,335
69,103,24,93
3,2,0,3
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
38,7,1,38
168,152,54,222
286,306,168,454
255,651,471,726
389,421,345,734
591,64,59,650
437,180,166,603
521,232,210,731
475,0,0,475
155,0,0,155
140,0,0,140
73,0,0,73
2,0,0,2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
37,59,9,46
107,489,164,271
142,744,398,540
162,852,610,772
177,902,766,943
197,907,838,1035
462,468,439,901
400,164,148,548
85,0,0,85
231,126,65,296
220,182,70,290
72,50,14,85
3,2,0,3
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
38,58,10,48
109,500,168,277
142,767,411,553
164,869,624,787
171,930,791,962
254,832,770,1023
409,577,541,951
450,457,402,852
295,621,484,778
288,56,40,328
208,0,0,208
48,8,1,49
3,4,0,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
37,19,4,41
120,432,148,268
184,639,341,525
186,808,582,769
345,617,522,867
598,192,175,773
581,69,65,646
486,251,213,699
408,375,284,692
305,382,234,539
211,187,83,294
79,0,0,79
3,0,0,3
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
37,1,0,37
155,193,76,230
196,587,317,513
239,701,505,744
278,740,633,911
304,752,699,1003
406,590,556,962
548,261,231,779
490,205,161,651
335,146,93,428
59,0,0,59
28,0,0,28
3,0,0,3
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
36,2,1,37
147,273,99,246
189,613,333,523
228,732,526,753
321,669,571,892
598,226,209,807
572,311,294,865
617,129,117,734
315,0,0,315
54,0,0,54
107,0,0,107
45,0,0,45
2,0,0,2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
32,0,0,32
174,0,0,174
318,1,1,318
485,94,69,554
612,18,14,626
679,12,11,690
661,13,12,673
543,0,0,543
410,0,0,410
230,0,0,230
143,0,0,143
20,0,0,20
2,0,0,2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
27,0,0,27
168,1,0,168
337,143,84,421
329,503,372,701
355,611,520,875
652,84,77,728
589,123,115,704
381,574,514,895
397,428,329,726
295,429,261,555
160,367,160,320
76,0,0,76
2,0,0,2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
34,2,0,34
175,153,52,227
302,277,152,454
438,52,32,471
590,0,0,590
581,204,195,775
354,679,643,997
295,735,656,951
303,622,480,783
220,625,383,602
160,410,180,340
72,160,27,99
4,6,1,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
37,69,12,49
98,567,194,293
111,847,460,571
127,931,677,804
143,964,832,974
161,964,905,1067
262,808,768,1030
381,394,348,729
366,276,228,594
188,0,0,188
98,0,0,98
44,0,0,44
2,0,0,2
0,0,0,0
